"topic","weight","doc"
23,0.6867,32056
23,0.685,37670
23,0.6815,23360
23,0.6763,15300
23,0.6753,24372
23,0.6736,12082
23,0.6717,11991
23,0.664,25278
23,0.6609,36084
23,0.6583,14180
23,0.6542,34577
23,0.6505,32818
23,0.6493,17544
23,0.6488,36515
23,0.6439,36714
23,0.6439,11349
23,0.6439,30195
23,0.6389,11988
23,0.6358,14486
23,0.6354,31502
23,0.6299,14247
23,0.6273,34235
23,0.6264,23170
23,0.6218,13521
23,0.6188,14401
23,0.6174,19539
23,0.613,39994
23,0.6111,27444
23,0.6111,37452
23,0.6096,368
23,0.609,23035
23,0.6056,39866
23,0.6048,13696
23,0.5996,30872
23,0.5995,35386
23,0.5988,21562
23,0.5943,23722
23,0.592,12859
24,0.8082,10649
24,0.8056,36729
24,0.7989,26170
24,0.7824,36055
24,0.7698,40003
24,0.7659,34600
24,0.7476,25527
24,0.7469,18811
24,0.7464,28533
24,0.7409,38475
24,0.7405,33492
24,0.7402,19299
24,0.7365,9750
24,0.7315,14711
24,0.727,35744
24,0.7269,11405
24,0.7267,20070
24,0.7267,31634
24,0.7222,10052
24,0.7202,10645
24,0.7202,13177
24,0.7201,19960
24,0.7194,25581
24,0.7167,39618
24,0.7153,22614
24,0.7153,37401
24,0.7148,21649
24,0.7083,29799
24,0.7056,23837
24,0.7029,14956
24,0.702,12819
24,0.7013,28205
24,0.6994,29147
24,0.6991,30244
24,0.6987,25540
24,0.6954,17073
24,0.6944,26849
24,0.6905,36435
24,0.6894,24630
24,0.6888,26154
24,0.6845,16875
24,0.6844,25588
24,0.6833,22548
24,0.6814,11324
24,0.6792,18483
24,0.6789,38029
24,0.6759,25796
24,0.6722,25979
24,0.6713,25356
24,0.6691,26916
25,0.866,13038
25,0.8131,12566
25,0.8089,14100
25,0.8065,32590
25,0.7986,26638
25,0.7901,5952
25,0.7899,34612
25,0.7803,14105
25,0.7639,5962
25,0.7626,3441
25,0.7626,19896
25,0.7601,12487
25,0.7583,27093
25,0.7573,4837
25,0.7569,18093
25,0.7569,35630
25,0.7532,5711
25,0.7464,13718
25,0.737,15758
25,0.7358,18350
25,0.7299,14483
25,0.7292,38183
25,0.7229,3500
25,0.7222,24903
25,0.7157,23625
25,0.7151,9106
25,0.7147,10579
25,0.6987,15179
25,0.6979,522
25,0.6979,7603
25,0.6979,13556
25,0.6954,21770
25,0.6905,34515
