
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"contributions [0.00692304234158206]","increase [0.00603769902876485]","dance [0.00675041361800099]","artistic [0.00640363503524534]","government [0.00682394272670894]","total [0.00641783123198734]","artists [0.0056854707764766]","receive [0.00621070639710878]","operating [0.00652478247501392]","donations [0.00581906107382]","committee [0.00689873390697705]","largest [0.00649254282594901]",
"local [0.00691904901133801]","officials [0.00600415108398655]","donors [0.00665355200479806]","total [0.00639454956593474]","development [0.00679036323292817]","increase [0.0062269681105635]","directors [0.00566683202948866]","government [0.00606715959970917]","institution [0.00650483547971709]","operating [0.00580213606749396]","state [0.00684038373208114]","announced [0.00646475761520708]",
"finn [0.00657518127892203]","donors [0.00583467503194471]","institution [0.00663279589547346]","artists [0.00633716676497507]","companies [0.00657918861568409]","cheney [0.00621174627450357]","contributions [0.00565263005907204]","raising [0.00603503669680201]","state [0.00645610711871217]","sources [0.00579156955556522]","tax [0.00655233426234802]","project [0.00642835667050134]",
"artists [0.00654554078755845]","income [0.00575416495415658]","orchestra [0.00656524218106432]","job [0.00628512891231802]","county [0.006557726297235]","economic [0.00590631522395468]","appointed [0.00562801136212302]","educators [0.00599115347014509]","officials [0.00640665697122314]","schools [0.00577473321634163]","total [0.00651660121013689]","art [0.00631975597616701]",
"we [0.00652015664633731]","contributions [0.0057343831355682]","policy [0.00653727982029247]","nonprofit [0.00628488783000397]","trustees [0.00653909240269925]","minority [0.00589797934481638]","nonprofit [0.00551956868260886]","lila [0.00588005456332416]","total [0.00637690284764772]","culture [0.00568611611948253]","receive [0.00651350253327979]","communities [0.00631136169841177]",
"private [0.00648974531278879]","awards [0.00568931079157203]","community [0.00641307256060638]","plan [0.00614695736145772]","advisory [0.00650982699810801]","development [0.00576782886669438]","endowments [0.00549549396489205]","mayor [0.00587078489145218]","goals [0.00637137031266133]","chairwoman [0.00566671103585833]","largest [0.00648333788230166]","management [0.00630578906304107]",
"recommendations [0.00648960865363135]","challenge [0.00567406198649347]","raise [0.00634702195914682]","development [0.00609130275973581]","awarded [0.00646610910419978]","artists [0.00575348754502266]","study [0.0054464411986523]","management [0.00570418187174391]","development [0.00626470190287153]","smithsonian [0.005612100009784]","federal [0.006261455054892]","195 [0.0062697759202003]",
"management [0.00637100334989276]","directors [0.0056266341305535]","deficit [0.00627948794776526]","directors [0.00608735545348884]","local [0.00639034010265431]","educational [0.00573968254099353]","campaign [0.005426320365691]","survey [0.00566229064601217]","commission [0.00623997498157956]","members [0.00557956862458403]","study [0.00621084898104786]","performing [0.00619897345167002]",
"announced [0.0062507434100524]","university [0.005624295651848]","study [0.00625942546214443]","curriculum [0.00597619234499605]","recipients [0.00638584967568091]","raise [0.00560661701167578]","increase [0.00541113663843807]","alliance [0.00562264826042533]","partnerships [0.00615316659406554]","corporations [0.00540794881636493]","195 [0.00614992642482407]","philanthropy [0.00606609272306903]",
"humanities [0.00618421108461009]","communities [0.0055598435665357]","increased [0.0062008413936491]","fiscal [0.00593646486713814]","applications [0.00636154975726729]","panel [0.00557612542596155]","raise [0.00538131039296969]","budgets [0.00541028946513351]","opera [0.00613205331773033]","giving [0.0054005820270727]","individual [0.00609911733384014]","davidson [0.005857507247025]",
