"doc","topic","docprop","source","year"
1930,0,0.00806451612903226,"SETL",1992
1930,2,0.0645161290322581,"SETL",1992
1930,8,0.903225806451613,"SETL",1992
1930,11,0.0241935483870968,"SETL",1992
1931,0,0.432432432432432,"SETL",1992
1931,8,0.0405405405405405,"SETL",1992
1931,10,0.527027027027027,"SETL",1992
1932,0,0.132075471698113,"SETL",1992
1932,3,0.641509433962264,"SETL",1992
1932,4,0.207547169811321,"SETL",1992
1932,11,0.0188679245283019,"SETL",1992
1933,3,0.428571428571429,"SETL",1992
1933,4,0.571428571428571,"SETL",1992
1934,0,0.170278637770898,"SETL",1992
1934,1,0.00309597523219814,"SETL",1992
1934,2,0.0495356037151703,"SETL",1992
1934,5,0.021671826625387,"SETL",1992
1934,8,0.142414860681115,"SETL",1992
1934,10,0.498452012383901,"SETL",1992
1934,11,0.114551083591331,"SETL",1992
1935,2,0.1875,"SETL",1992
1935,4,0.8125,"SETL",1992
1936,5,0.00478468899521531,"SETL",1992
1936,7,0.00239234449760766,"SETL",1992
1936,8,0.0239234449760766,"SETL",1992
1936,9,0.00717703349282297,"SETL",1992
1936,10,0.956937799043062,"SETL",1992
1936,11,0.00478468899521531,"SETL",1992
1937,0,0.409883720930233,"SETL",1992
1937,2,0.00581395348837209,"SETL",1992
1937,4,0.0436046511627907,"SETL",1992
1937,8,0.0290697674418605,"SETL",1992
1937,10,0.465116279069767,"SETL",1992
1937,11,0.0465116279069767,"SETL",1992
1938,1,0.00268817204301075,"SETL",1992
1938,5,0.00537634408602151,"SETL",1992
1938,6,0.00268817204301075,"SETL",1992
1938,7,0.978494623655914,"SETL",1992
1938,11,0.010752688172043,"SETL",1992
1939,0,0.0028328611898017,"SETL",1993
1939,1,0.909348441926346,"SETL",1993
1939,2,0.0311614730878187,"SETL",1993
1939,10,0.0424929178470255,"SETL",1993
1939,11,0.0141643059490085,"SETL",1993
1940,3,0.0769230769230769,"SETL",1993
1940,4,0.923076923076923,"SETL",1993
1941,1,0.564954682779456,"SETL",1993
1941,2,0.00302114803625378,"SETL",1993
1941,4,0.0392749244712991,"SETL",1993
1941,7,0.00302114803625378,"SETL",1993
1941,10,0.386706948640483,"SETL",1993
1941,11,0.00302114803625378,"SETL",1993
1942,0,0.143236074270557,"SETL",1993
1942,1,0.106100795755968,"SETL",1993
1942,2,0.00397877984084881,"SETL",1993
1942,5,0.137931034482759,"SETL",1993
1942,6,0.0026525198938992,"SETL",1993
1942,7,0.00795755968169761,"SETL",1993
1942,10,0.423076923076923,"SETL",1993
1942,11,0.175066312997347,"SETL",1993
1943,0,0.108490566037736,"SETL",1993
1943,2,0.0518867924528302,"SETL",1993
1943,3,0.207547169811321,"SETL",1993
1943,5,0.0566037735849057,"SETL",1993
1943,6,0.0141509433962264,"SETL",1993
1943,8,0.0849056603773585,"SETL",1993
1943,9,0.226415094339623,"SETL",1993
1943,11,0.25,"SETL",1993
1944,0,0.00053850296176629,"SETL",1993
1944,2,0.987075928917609,"SETL",1993
1944,4,0.00053850296176629,"SETL",1993
1944,5,0.00107700592353258,"SETL",1993
1944,11,0.0107700592353258,"SETL",1993
1945,3,0.0445026178010471,"SETL",1993
1945,4,0.00785340314136126,"SETL",1993
1945,10,0.93979057591623,"SETL",1993
1945,11,0.00785340314136126,"SETL",1993
1946,3,0.109195402298851,"SETL",1993
1946,4,0.859195402298851,"SETL",1993
1946,10,0.0028735632183908,"SETL",1993
1946,11,0.028735632183908,"SETL",1993
1947,3,0.508474576271186,"SETL",1993
1947,4,0.491525423728814,"SETL",1993
1948,0,0.75,"SETL",1993
1948,3,0.05,"SETL",1993
1948,11,0.2,"SETL",1993
1949,3,0.946428571428571,"SETL",1993
1949,6,0.0267857142857143,"SETL",1993
1949,10,0.0148809523809524,"SETL",1993
1949,11,0.0119047619047619,"SETL",1993
1950,0,0.0240112994350282,"SETL",1993
1950,2,0.11864406779661,"SETL",1993
1950,4,0.563559322033898,"SETL",1993
1950,8,0.00141242937853107,"SETL",1993
1950,10,0.173728813559322,"SETL",1993
1950,11,0.11864406779661,"SETL",1993
1951,2,0.0794392523364486,"SETL",1993
1951,4,0.121495327102804,"SETL",1993
1951,7,0.574766355140187,"SETL",1993
1951,9,0.00467289719626168,"SETL",1993
1951,10,0.14018691588785,"SETL",1993
1951,11,0.0794392523364486,"SETL",1993
1952,1,0.68561872909699,"SETL",1993
1952,6,0.00334448160535117,"SETL",1993
1952,10,0.304347826086957,"SETL",1993
1952,11,0.00668896321070234,"SETL",1993
1953,1,0.00437956204379562,"SETL",1993
